SKU,Tên thuộc tính,Giá trị thuộc tính,Tên thuộc tính,Giá trị thuộc tính,,
2644474,Thương hiệu,Gucci,Kích thước,0.33 oz / 10 mL,,
2644482,Thương hiệu,Gucci,Kích thước,0.33 oz,,
2644532,Thương hiệu,DIOR,Kích thước,3.4 oz / 100 mL eau de toilette spray,,
2647782,Thương hiệu,PHLUR,Kích thước,1.7 oz / 50 mL,,
2648632,Thương hiệu,By Rosie Jane,Kích thước,1.7 oz eau de parfum spray,,
2648665,Thương hiệu,Maison Louis Marie,Kích thước,1.7 oz / 50 mL eau de parfum spray,,
2648681,Thương hiệu,Maison Louis Marie,Kích thước,0.50 oz / 15 mL perfume oil,,
2648699,Thương hiệu,Maison Louis Marie,Kích thước,0.1 oz / 3 mL perfume oil,,
2652071,Thương hiệu,Sol de Janeiro,Kích thước,8.1 oz / 240 mL,,
2653327,Thương hiệu,Carolina Herrera,Kích thước,0.34 oz / 10 mL eau de parfum spray,,
2653327,Thương hiệu,Carolina Herrera,Kích thước,0.34 oz / 10 mL eau de parfum spray,,
2657567,Thương hiệu,Versace,Kích thước,3.4 oz / 100 mL eau de parfum spray,,
2659357,Thương hiệu,Nette,Kích thước,.33 / 10 mL eau de parfum spray,,
2660041,Thương hiệu,Floral Street,Kích thước,0.33 oz / 10 mL eau de parfum spray,,
2672095,Thương hiệu,Jo Malone London,Kích thước,1.7 oz / 50 ml cologne spray,,
2672152,Thương hiệu,Jo Malone London,Kích thước,3.4 oz / 100 ml cologne spray,,
2674463,Thương hiệu,5 SENS,Kích thước,1 oz / 30 mL eau de parfum spray,,
2674919,Thương hiệu,Dolce&Gabbana,Kích thước,1 oz eau de toilette Spray,,
2674943,Thương hiệu,Dolce&Gabbana,Kích thước,3.4 oz / 100 mL eau de toilette spray,,
2675841,Thương hiệu,Mugler,Kích thước,3.4 oz / 100 mL eau de parfum spray,,
2676443,Thương hiệu,DedCool,Kích thước,0.5 oz / 15 ml eau de parfum spray,,
2676443,Thương hiệu,DedCool,Kích thước,0.5 oz / 15 ml eau de parfum spray,,
2678100,Thương hiệu,Jo Malone London,Kích thước,3.4oz / 100ml cologne spray,,
2685030,Thương hiệu,DedCool,Kích thước,1.7 oz,,
2685840,Thương hiệu,Henry Rose,Kích thước,1.7 oz / 50 mL eau de parfum spray,,
2686616,Thương hiệu,Jo Malone London,Kích thước,3.4 oz / 100 ml spray,,
2689602,Thương hiệu,Gucci,Kích thước,3.4 oz / 100 ml eau de parfum,,
2689610,Thương hiệu,BURBERRY,Kích thước,0.34 oz / 10 ml eau de parfum spray,,
2690345,Thương hiệu,Prada,Kích thước,1.7 oz / 50 mL eau de parfum spray,,
2692242,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz / 50 mL eau de parfum spray,,
2692911,Thương hiệu,KAYALI,Kích thước,3.4 oz eau de parfum spray,,
2692929,Thương hiệu,KAYALI,Kích thước,0.33 oz eau de parfum spray,,
2693349,Thương hiệu,PHLUR,Kích thước,3 oz eau de parfum spray,,
2693356,Thương hiệu,PHLUR,Kích thước,eau de parfum spray,,
2693364,Thương hiệu,PHLUR,Kích thước,3 oz eau de parfum spray,,
2693380,Thương hiệu,PHLUR,Kích thước,3 oz eau de parfum spray,,
2693612,Thương hiệu,JIMMY CHOO,Kích thước,0.33 oz / 10 ml eau de parfum spray,,
2694941,Thương hiệu,Maison Margiela,Kích thước,3.4 oz eau de toilette spray,,
